id,linea,orden,combinacion,nombre,longitud,latitud
1,L1,1,5,SAN PABLO L1,-70.723118,-33.445454
2,L1,2,,NEPTUNO,-70.72264572,-33.45153638
3,L1,3,,PAJARITOS,-70.71593663,-33.45741718
4,L1,4,,LAS REJAS,-70.70587076,-33.45736879
5,L1,5,,ECUADOR,-70.7010856,-33.45626665
6,L1,6,,SAN ALBERTO HURTADO,-70.62620853,-33.43346653
7,L1,7,,UNIVERSIDAD DE SANTIAGO,-70.6863706,-33.45283211
8,L1,8,,ESTACION CENTRAL,-70.6791488,-33.45087477
9,L1,9,,UNION LATINOAMERICANA,-70.67345643,-33.44942278
10,L1,10,,REPUBLICA,-70.61243387,-33.42492921
11,L1,11,2,LOS HEROES L1,-70.661705,-33.446487
12,L1,12,,LA MONEDA,-70.65479586,-33.44485501
13,L1,13,3,UNIVERSIDAD DE CHILE L1,-70.65029168,-33.44376503
14,L1,14,,SANTA LUCIA,-70.64520402,-33.44255404
15,L1,15,,UNIVERSIDAD CATOLICA,-70.64003081,-33.43985337
16,L1,16,5,BAQUEDANO L1,-70.633119,-33.437277
17,L1,17,,SALVADOR,-70.66703694,-33.44770483
18,L1,18,,MANUEL MONTT,-70.61891639,-33.42920051
19,L1,19,,PEDRO DE VALDIVIA,-70.69236796,-33.45422373
20,L1,20,6,LOS LEONES L1,-70.60865006,-33.42217409
21,L1,21,4,TOBALABA L1,-70.602792,-33.418722
22,L1,22,,EL GOLF,-70.59585634,-33.41665773
23,L1,23,,ALCANTARA,-70.58968584,-33.41543877
24,L1,24,,ESCUELA MILITAR,-70.5846369,-33.41429088
25,L1,25,,MANQUEHUE,-70.56812562,-33.4090259
26,L1,26,,HERNANDO DE MAGALLANES,-70.55559909,-33.4080066
27,L1,27,,LOS DOMINICOS,-70.5450801,-33.4078964
28,L2,1,,HOSPITAL EL PINO,-70.677098,-33.5829441
29,L2,2,,COPA LO MARTINEZ,-70.67378362,-33.57044368
30,L2,3,,OBSERVATORIO,-70.670341,-33.560345
31,L2,4,,EL BOSQUE,-70.667236,-33.545513
32,L2,5,4A,LA CISTERNA L2,-70.66447587,-33.53797104
33,L2,6,,EL PARRON,-70.66142413,-33.52651309
34,L2,7,,LO OVALLE,-70.65880733,-33.51723324
35,L2,8,,CIUDAD DEL NIÑO,-70.6566527,-33.50961155
36,L2,9,,DEPARTAMENTAL,-70.65479674,-33.50306902
37,L2,10,,LO VIAL,-70.6528928,-33.49641338
38,L2,11,,SAN MIGUEL,-70.65068721,-33.4889964
39,L2,12,,EL LLANO,-70.64912373,-33.48259804
40,L2,13,6,FRANKLIN L2,-70.6494014,-33.47606832
41,L2,14,,RONDIZZONI,-70.65666564,-33.47024892
42,L2,15,,PARQUE O'HIGGINS,-70.65682185,-33.46084182
43,L2,16,,TOESCA,-70.6587341,-33.45235149
44,L2,17,1,LOS HEROES L2,-70.661705,-33.446487
45,L2,18,5,SANTA ANA L2,-70.65873106,-33.43925504
46,L2,19,,PUENTE CAL Y CANTO,-70.65222894,-33.43294603
47,L2,20,,PATRONATO,-70.64705304,-33.42962862
48,L2,21,,CERRO BLANCO,-70.64493917,-33.42247685
49,L2,22,,CEMENTERIOS,-70.64361969,-33.41387349
50,L2,23,,EINSTEIN,-70.64317829,-33.40647739
51,L2,24,,DORSAL,-70.6427391,-33.39680353
52,L2,25,,ZAPADORES,-70.642441,-33.390938
53,L2,26,,VESPUCIO NORTE,-70.64617581,-33.38113184
54,L3,1,,PLAZA QUILICURA,-70.729912,-33.364983
55,L3,2,,LO CRUZAT,-70.719841,-33.366730
56,L3,3,,FERROCARRIL,-70.705925,-33.365486
57,L3,4,,LOS LIBERTADORES,-70.6875399,-33.3671373
58,L3,5,,CARDENAL CARO,-70.685459,-33.373018
59,L3,6,,VIVACETA,-70.679508,-33.385142
60,L3,7,,CONCHALI,-70.670334,-33.397244
61,L3,8,,PLAZA CHACABUCO,-70.660928,-33.406079
62,L3,9,,HOSPITALES,-70.655687,-33.417756
63,L3,10,2,PUENTE CAL Y CANTO L3,-70.652146,-33.433128
64,L3,11,5,PLAZA DE ARMAS L3,-70.649818,-33.436672
65,L3,12,1,UNIVERSIDAD DE CHILE L3,-70.650337,-33.444057
66,L3,13,,PARQUE ALMAGRO,-70.6504687,-33.4515666
67,L3,14,,MATTA,-70.643150,-33.457973
68,L3,15,5,IRARRAZAVAL L3,-70.627946,-33.454762
69,L3,16,,MONSEÑOR EYZAGUIRRE,-70.613826,-33.453507
70,L3,17,6,ÑUÑOA L3,-70.605515,-33.454277
71,L3,18,,CHILE-ESPAÑA,-70.597308,-33.455150
72,L3,19,,VILLA FREI,-70.581595,-33.454856
73,L3,20,4,PLAZA EGAÑA L3,-70.571569,-33.453450
74,L3,21,,FERNANDO CASTILLO VELASCO,-70.558266,-33.452310
75,L4,1,1,TOBALABA L4,-70.602792,-33.418722
76,L4,2,,CRISTOBAL COLON,-70.59115277,-33.42630504
77,L4,3,,FRANCISCO BILBAO,-70.58460176,-33.43195483
78,L4,4,,PRINCIPE DE GALES,-70.57377057,-33.43795692
79,L4,5,,SIMON BOLIVAR,-70.57160757,-33.4480175
80,L4,6,,PLAZA EGAÑA,-70.57071311,-33.4530748
81,L4,7,,LOS ORIENTALES,-70.57388164,-33.46252415
82,L4,8,,GRECIA,-70.57649201,-33.46961865
83,L4,9,,LOS PRESIDENTES,-70.57865169,-33.47987017
84,L4,10,,QUILIN,-70.58035428,-33.48823591
85,L4,11,,LAS TORRES,-70.58636495,-33.49888191
86,L4,12,,MACUL,-70.58999289,-33.50922302
87,L4,13,4A,VICUÑA MACKENNA L4,-70.596173,-33.519778
88,L4,14,5,VICENTE VALDES L4,-70.596748,-33.526559
89,L4,15,,ROJAS MAGALLANES,-70.59261037,-33.53616799
90,L4,16,,TRINIDAD,-70.58788652,-33.54658109
91,L4,17,,SAN JOSE DE LA ESTRELLA,-70.58653604,-33.5533554
92,L4,18,,LOS QUILLAYES,-70.58517708,-33.56133276
93,L4,19,,ELISA CORREA,-70.5837448,-33.56946535
94,L4,20,,HOSPITAL SOTERO DEL RIO,-70.58217591,-33.57710174
95,L4,21,,PROTECTORA DE LA INFANCIA,-70.57979352,-33.58975371
96,L4,22,,LAS MERCEDES,-70.57759514,-33.60072058
97,L4,23,,PLAZA DE PUENTE ALTO,-70.57575465,-33.61046273
98,L4A,1,4,VICUÑA MACKENNA L4A,-70.596173,-33.519778
99,L4A,2,,SANTA JULIA,-70.605488,-33.53116125
100,L4A,3,,LA GRANJA,-70.61605065,-33.54119132
101,L4A,4,,SANTA ROSA,-70.63409398,-33.5424495
102,L4A,5,,SAN RAMON,-70.65124793,-33.54000867
103,L4A,6,2,LA CISTERNA L4A,-70.66447587,-33.53797104
104,L5,1,,PLAZA DE MAIPU,-70.75726982,-33.51063767
105,L5,2,,SANTIAGO BUERAS,-70.75743006,-33.49641509
106,L5,3,,DEL SOL,-70.75273454,-33.489837
107,L5,4,,MONTE TABOR,-70.7453728,-33.48211614
108,L5,5,,LAS PARCELAS,-70.74149089,-33.47735571
109,L5,6,,LAGUNA SUR,-70.73779937,-33.462878
110,L5,7,,BARRANCAS,-70.73900243,-33.45299778
111,L5,8,,PUDAHUEL,-70.74059879,-33.4449745
112,L5,9,1,SAN PABLO L5,-70.723118,-33.445454
113,L5,10,,LO PRADO,-70.715913,-33.44329548
114,L5,11,,BLANQUEADO,-70.70726277,-33.44148648
115,L5,12,,GRUTA DE LOURDES,-70.6917117,-33.4384028
116,L5,13,,QUINTA NORMAL,-70.68018787,-33.44040945
117,L5,14,,CUMMING,-70.66854158,-33.43916458
118,L5,15,2,SANTA ANA L5,-70.65838929,-33.43825964
119,L5,16,,PLAZA DE ARMAS,-70.65060895,-33.43727179
120,L5,17,,BELLAS ARTES,-70.64502132,-33.43668061
121,L5,18,1,BAQUEDANO L5,-70.634804,-33.437476
122,L5,19,,PARQUE BUSTAMANTE,-70.63154738,-33.44280337
123,L5,20,,SANTA ISABEL,-70.63041764,-33.44713023
124,L5,21,,IRARRAZAVAL,-70.62824732,-33.45528289
125,L5,22,6,ÑUBLE L5,-70.62471345,-33.46740043
126,L5,23,,RODRIGO DE ARAYA,-70.62230025,-33.47759015
127,L5,24,,CARLOS VALDOVINOS,-70.61909384,-33.48647187
128,L5,25,,CAMINO AGRICOLA,-70.61749874,-33.49184748
129,L5,26,,SAN JOAQUIN,-70.61633335,-33.49690561
130,L5,27,,PEDRERO,-70.61242684,-33.50804733
131,L5,28,,MIRADOR,-70.60620007,-33.51315457
132,L5,29,,BELLAVISTA DE LA FLORIDA,-70.59934833,-33.5204449
133,L5,30,4,VICENTE VALDES L5,-70.596748,-33.526559
134,L6,1,,CERRILLOS,-70.693665,-33.483631
135,L6,2,,LO VALLEDOR,-70.680244,-33.478607
136,L6,3,,PEDRO AGUIRRE CERDA,-70.665001,-33.47847
137,L6,4,2,FRANKLIN L6,-70.649277,-33.47625
138,L6,5,,BIO BIO,-70.6418,-33.476822
139,L6,6,5,ÑUBLE L6,-70.624222,-33.46735
140,L6,7,,ESTADIO NACIONAL,-70.607109,-33.46199
141,L6,8,3,ÑUÑOA L6,-70.605515,-33.454277
142,L6,9,,INES DE SUAREZ,-70.607399,-33.438011
143,L6,10,1,LOS LEONES L6,-70.607971,-33.422237
